Vulsini,42.6,11.93
Campi Flegrei,40.827,14.139
Tofua,-19.75,-175.07
Witori,-5.576,150.516
Lolobau,-4.92,151.158
Kuwae,-16.829,168.536
Krakatau,-6.102,105.423
Batur,-8.242,115.375
Banda Api,-4.523,129.881
Taal,14.002,120.993
Kikai,30.789,130.308
Aira,31.593,130.657
Asosan,32.884,131.104
Naruko,38.729,140.734
Towada,40.51,140.88
Nishinoshima,27.247,140.874
Ioto,24.751,141.289
Shikotsu,42.688,141.38
Akan,43.384,144.013
Tomariyama [Golovnin],43.844,145.504
Chirpoi,46.525,150.875
Zavaritzki Caldera,46.925,151.95
Ushishur,47.52,152.8
Nemo Peak,49.57,154.808
Gorely,52.559,158.03
Opala,52.543,157.339
Maly Semyachik,54.135,159.674
Aniakchak,56.88,-158.17
Novarupta,58.27,-155.157
Ilopango,13.672,-89.053
Masaya,11.984,-86.161
Chacana,-0.375,-78.25
Maipo,-34.164,-69.832
Chaiten,-42.833,-72.646
Qualibou,13.83,-61.05
Grimsvotn,64.416,-17.316
Krafla,65.75,-16.25
Deception Island,-63.001,-60.652
Kone,8.8,39.692
Singkut,3.248,98.501
Suoh,-5.25,104.27
Ata,31.22,130.57
Ischia,40.73,13.897
McDonald Islands,-53.03,72.6
St. Andrew Strait,-2.38,147.35
Long Island,-5.358,147.12
Langila,-5.525,148.42
Suretamatai,-13.8,167.47
Peuet Sague,4.914,96.329
Marapi,-0.381,100.473
Guntur,-7.143,107.84
Dieng Volcanic Complex,-7.2,109.92
Sangeang Api,-8.2,119.07
Inielika,-8.73,120.98
Kelimutu,-8.77,121.82
Leroboleng,-8.365,122.833
Iliwerung,-8.53,123.57
Sirung,-8.508,124.13
Ambang,0.75,124.42
Dukono,1.693,127.894
Io-Torishima,27.881,128.223
Unzendake,32.761,130.299
Ontakesan,35.893,137.48
Asamayama,36.406,138.523
Zaozan,38.144,140.44
Iwatesan,39.853,141.001
Mutnovsky,52.449,158.196
Pacaya,14.381,-90.601
Pilas  Las,12.495,-86.688
Rincon de la Vieja,10.83,-85.324
Galeras,1.22,-77.37
Etorofu-Yakeyama [Grozny Group],45.012,147.871
Biliran,11.523,124.535
Didicas,19.077,122.202
Zhupanovsky,53.589,159.15
Ushkovsky,56.113,160.509
Cayambe,0.029,-77.986
Karpinsky Group,50.148,155.373
Reykjanes,63.85,-22.566
Krysuvik,63.883,-22.083
Brennisteinsfjoll,63.933,-21.783
Larderello,43.25,10.87
Dallol,14.242,40.3
San Jorge,38.65,-28.08
Alu-Dalafilla,13.793,40.553
Manda-Inakir,12.38,42.2
Ardoukoba,11.58,42.47
Lanzarote,29.03,-13.63
Bagana,-6.137,155.196
Musuan,7.877,125.068
Niigata-Yakeyama,36.921,138.036
Methana,37.615,23.336
Okataina,-38.12,176.5
Ranakah,-8.62,120.52
Yufu-Tsurumi,33.282,131.39
Niijima,34.397,139.27
Kozushima,34.219,139.153
Esan,41.805,141.166
Augustine,59.363,-153.43
Chichon  El,17.36,-93.228
Huequi,-42.377,-72.578
Fueguino,-54.95,-70.25
Ukinrek Maars,57.832,-156.51
Tullu Moje,8.159,39.137
Waiowa,-9.57,149.075
Reclus,-50.964,-73.585
Jolo,6.013,121.057
Hainan Dao,19.7,110.1
Izu-Tobu,34.9,139.098
Kunlun Volcanic Group,35.52,80.2
Barcena,19.3,-110.82
Michoacan-Guanajuato,19.85,-101.75
Negro  Cerro,12.506,-86.702
Carrán-Los Venados,-40.35,-72.07
Picos Volcanic System,37.78,-25.67
Rabaul,-4.271,152.203
Ambrym,-16.25,168.12
Pantelleria,36.77,12.02
Tenduruk Dagi,39.356,43.874
Zubair Group,15.05,42.18
Erta Ale,13.6,40.67
Alayta,12.888,40.573
Dama Ali,11.28,41.63
Barrier  The,2.32,36.57
Nyamuragira,-1.408,29.2
Santa Isabel,3.58,8.75
Karthala,-11.75,43.38
Fournaise  Piton de la,-21.244,55.708
Niuafo'ou,-15.6,-175.63
Savai'i,-13.612,-172.525
Aoba,-15.4,167.83
Kirishimayama,31.934,130.862
Nikko-Shiranesan,36.799,139.376
Tolbachik,55.832,160.326
Halla,33.361,126.53
Yunaska,52.643,-170.629
Okmok,53.43,-168.13
Wrangell,62.006,-144.017
Kilauea,19.421,-155.287
Mauna Loa,19.475,-155.608
Hualalai,19.692,-155.87
Socorro,18.78,-110.95
San Martin,18.57,-95.2
Fernandina,-0.37,-91.55
Wolf,0.02,-91.35
Alcedo,-0.43,-91.12
Negra  Sierra,-0.83,-91.17
Azul  Cerro,-0.92,-91.408
Pinta,0.58,-90.75
Marchena,0.33,-90.47
Santiago,-0.22,-90.77
Hierro,27.73,-18.03
Tristan da Cunha,-37.092,-12.28
Montagu Island,-58.445,-26.374
Santorini,36.404,25.396
Manda Hararo,12.17,40.82
Marion Island,-46.9,37.75
Ofu-Olosega,-14.175,-169.618
Vesuvius,40.821,14.426
Stromboli,38.789,15.213
Nisyros,36.586,27.16
Nemrut Dagi,38.654,42.229
Ararat,39.7,44.3
Tair  Jebel at,15.55,41.83
Dubbi,13.579,41.809
Nabro,13.37,41.7
Dabbahu,12.595,40.48
Fentale,8.975,39.93
South Island,2.63,36.6
Lengai  Ol Doinyo,-2.764,35.914
Meru,-3.25,36.75
Kyejo,-9.229,33.792
Nyiragongo,-1.52,29.25
Visoke,-1.458,29.485
Cameroon,4.203,9.17
St. Paul,-38.72,77.53
Heard,-53.106,73.513
Taranaki [Egmont],-39.3,174.07
Ruapehu,-39.28,175.57
Raoul Island,-29.27,-177.92
Late,-18.806,-174.65
Fonualei,-18.02,-174.325
Bam,-3.613,144.818
Manam,-4.08,145.037
Karkar,-4.649,145.964
Ritter Island,-5.519,148.115
Bamus,-5.2,151.23
Ulawun,-5.05,151.33
Lamington,-8.95,148.15
Victory,-9.2,149.07
Savo,-9.13,159.82
Tinakula,-10.38,165.8
Gaua,-14.27,167.5
Lopevi,-16.507,168.346
Traitor's Head,-18.754,169.238
Yasur,-19.53,169.442
Matthew Island,-22.33,171.32
Hunter Island,-22.4,172.05
Barren Island,12.278,93.858
Seulawah Agam,5.448,95.658
Telong  Bur ni,4.769,96.821
Sinabung,3.17,98.392
Sorikmarapi,0.686,99.539
Talang,-0.978,100.679
Kerinci,-1.697,101.264
Sumbing,-2.414,101.728
Kaba,-3.52,102.62
Salak,-6.72,106.73
Tangkubanparahu,-6.77,107.6
Galunggung,-7.25,108.058
Cereme,-6.892,108.4
Slamet,-7.242,109.208
Sundoro,-7.3,109.992
Sumbing,-7.384,110.07
Merbabu,-7.45,110.43
Merapi,-7.542,110.442
Lawu,-7.625,111.192
Kelut,-7.93,112.308
Arjuno-Welirang,-7.725,112.58
Semeru,-8.108,112.92
Lamongan,-7.979,113.342
Raung,-8.119,114.056
Agung,-8.342,115.508
Rinjani,-8.42,116.47
Tambora,-8.25,118
Ebulobo,-8.82,121.18
Iya,-8.897,121.645
Paluweh,-8.32,121.708
Egon,-8.676,122.455
Iliboleng,-8.342,123.258
Lewotolo,-8.272,123.505
Tara  Batu,-7.791,123.585
Gunungapi Wetar,-6.642,126.65
Wurlali,-7.125,128.675
Teon,-6.976,129.144
Nila,-6.73,129.5
Serua,-6.312,130.017
Colo,-0.162,121.601
Soputan,1.112,124.737
Mahawu,1.352,124.865
Tangkoko-Duasudara,1.518,125.185
Ruang,2.3,125.37
Karangetang,2.78,125.4
Awu,3.67,125.5
Ibu,1.488,127.63
Gamkonora,1.38,127.53
Makian,0.32,127.4
Parker,6.113,124.892
Makaturing,7.647,124.32
Ragang,7.7,124.5
Kanlaon,10.412,123.132
Mayon,13.257,123.685
Pinatubo,15.13,120.35
Cagua,18.222,122.123
Camiguin de Babuyanes,18.83,121.86
Iraya,20.469,122.01
Kueishantao,24.841,121.953
Fujisan,35.361,138.728
Hakusan,36.155,136.771
Midagahara,36.571,137.59
Hiuchigatake,36.955,139.285
Bandaisan,37.601,140.072
Kurikomayama,38.961,140.788
Akita-Yakeyama,39.964,140.757
Iwakisan,40.656,140.303
Osorezan,41.276,141.124
Izu-Oshima,34.724,139.394
Miyakejima,34.094,139.526
Aogashima,32.458,139.759
Izu-Torishima,30.484,140.303
Kita-Ioto,25.424,141.284
Farallon de Pajaros,20.538,144.896
Asuncion,19.671,145.406
Agrigan,18.77,145.67
Guguan,17.307,145.845
Anatahan,16.35,145.67
Oshima-Oshima,41.51,139.367
Hokkaido-Komagatake,42.063,140.677
Toya,42.544,140.839
Shiretoko-Iozan,44.133,145.161
Raususan [Mendeleev],43.979,145.733
Chachadake [Tiatia],44.353,146.252
Etorofu-Atosanupuri [Atosanupuri],44.808,147.131
Sashiusudake [Baransky],45.1,148.019
Moyorodake [Medvezhia],45.389,148.838
Kolokol Group,46.042,150.083
Milna,46.815,151.786
Prevo Peak,47.02,152.12
Ketoi,47.35,152.475
Rasshua,47.77,153.02
Sarychev Peak,48.092,153.2
Raikoke,48.292,153.25
Chirinkotan,48.98,153.48
Ekarma,48.958,153.93
Sinarka,48.875,154.175
Kharimkotan,49.12,154.508
Tao-Rusyr Caldera,49.35,154.7
Fuss Peak,50.267,155.246
Ebeko,50.686,156.014
Alaid,50.861,155.565
Koshelev,51.356,156.753
Iliinsky,51.498,157.203
Zheltovsky,51.577,157.328
Ksudach,51.844,157.572
Koryaksky,53.321,158.712
Avachinsky,53.256,158.836
Karymsky,54.049,159.443
Kronotsky,54.753,160.533
Kizimen,55.131,160.32
Bezymianny,55.972,160.595
Klyuchevskoy,56.056,160.642
Sheveluch,56.653,161.36
Ichinsky,55.678,157.718
Changbaishan,41.98,128.08
Kiska,52.103,177.602
Little Sitkin,51.95,178.543
Semisopochnoi,51.93,179.58
Gareloi,51.79,-178.794
Kanaga,51.923,-177.168
Great Sitkin,52.076,-176.13
Kasatochi,52.177,-175.508
Amukta,52.5,-171.252
Carlisle,52.894,-170.054
Cleveland,52.825,-169.944
Kagamil,52.974,-169.72
Vsevidof,53.13,-168.693
Makushin,53.891,-166.923
Akutan,54.134,-165.986
Fisher,54.65,-164.43
Shishaldin,54.756,-163.97
Amak,55.424,-163.149
Pavlof,55.417,-161.894
Kupreanof,56.011,-159.797
Veniaminof,56.17,-159.38
Chiginagak,57.135,-156.99
Ugashik-Peulik,57.751,-156.368
Trident,58.236,-155.1
Katmai,58.28,-154.963
Fourpeaked,58.77,-153.672
Iliamna,60.032,-153.09
Redoubt,60.485,-152.742
Spurr,61.299,-152.251
Rainier,46.853,-121.76
St. Helens,46.2,-122.18
Hood,45.374,-121.695
Shasta,41.409,-122.193
Lassen Volcanic Center,40.492,-121.508
Ceboruco,21.125,-104.508
Orizaba  Pico de,19.03,-97.27
Tacana,15.132,-92.109
Santa Maria,14.756,-91.552
Almolonga,14.797,-91.519
Santa Ana,13.853,-89.63
Izalco,13.813,-89.633
San Salvador,13.734,-89.294
San Miguel,13.434,-88.269
Cosiguina,12.98,-87.57
San Cristobal,12.702,-87.004
