Ambient Temperature,Ambient Humidity,Light Intensity (PAR),Phi2,vH+,Relative Chlorophyll,Thickness,Leaf Angle,Leaf Temperature Differential
30.15,63.429,416.255,0.455,0.083,51.21,0.35,42.712,-4.76
30.21,62.756,355.314,0.521,0.11,39.99,0.84,45.401,-3.41
30.47,62.331,255.012,0.537,0.07400000000000001,46.89,0.32,31.109,-4.8
31.24,60.74100000000001,264.954,0.531,0.08199999999999999,47.77,1.01,52.749,-4.71
31.25,60.368,396.842,0.526,0.087,50.35,1.05,15.747,-5.44
31.26,61.062,456.309,0.493,0.132,48.34,3.11,20.445,-4.65
33.58,56.867,625.097,0.444,0.147,41.48,0.22,28.999,-2.0
33.68,54.197,528.45,0.482,0.141,51.1,1.88,68.654,-5.29
33.73,53.31399999999999,487.236,0.45,0.116,50.02,0.68,61.917,-7.16
33.8,53.756,924.076,0.425,0.21600000000000005,43.54,0.5,64.46,-5.31
34.03,53.761,925.16,0.443,0.18600000000000005,51.12,0.2,65.8,-5.82
33.96,61.361,1232.129,0.338,0.261,31.5,0.95,23.62,-2.33
33.97,61.985,986.174,0.413,0.215,40.03,0.88,28.687,-5.62
33.88,63.049,927.39,0.412,0.22,42.46,0.89,35.426,-5.53
33.86,61.661,938.854,0.407,0.225,36.67,1.04,32.116,-5.47
31.22,50.812,340.5630000000001,0.483,0.133,46.26,0.33,20.027,-3.51
31.38,48.069,295.464,0.465,0.139,46.39,0.3,60.633,-3.13
31.57,51.707,408.194,0.471,0.139,34.08,0.59,26.877,-4.72
31.68,49.736,251.429,0.511,0.085,49.83,0.48,76.488,-4.01
31.78,51.212,411.918,0.512,0.115,50.22,0.34,14.811,-4.49
31.86,51.143,344.583,0.519,0.124,46.95,0.52,48.44300000000001,-3.69
32.38,49.27,268.208,0.579,0.098,46.87,0.63,17.06,-4.67
32.35,50.63399999999999,247.638,0.573,0.099,55.42,0.34,32.424,-5.1
32.36,51.549,325.053,0.564,0.111,46.66,0.42,10.397,-5.07
32.39,52.07100000000001,215.635,0.594,0.08900000000000001,51.0,0.55,25.785,-5.18
32.34,49.74,308.577,0.5489999999999999,0.113,45.72,0.67,8.84,-5.91
32.3,49.26300000000001,270.898,0.5489999999999999,0.116,49.08,0.32,41.161,-4.45
